"","Port","Quarter","Vessel Rate","Crane Rate","Ship Rate","Containers"
"133","Lyttelton","2020 Q4","48.7","28.4","61.6","72950"
"134","Otago","2020 Q4","30.4","32.6","35.7","28885"
"135","Auckland","2020 Q3","44.64","28.4","60.9","122612"
"136","Tauranga","2020 Q3","73.8","33.5","82.9","186566"
"137","Napier","2020 Q3","38.6","23.89","53.5","35839"
"138","Wellington","2020 Q3","33.2","24.12","36.63","14297"
"139","Lyttelton","2020 Q3","48.4","30.1","61.7","62761"
"140","Otago","2020 Q3","46","31.7","54.9","26431"
"141","Auckland","2020 Q2","71.7","32.3","82","114969"
"142","Tauranga","2020 Q2","71.6","35.2","84.8","202677"
"143","Napier","2020 Q2","34.69","21.44","46.87","43202"
"144","Wellington","2020 Q2","33.63","22.17","37.78","15260"
"145","Lyttelton","2020 Q2","47.2","31.5","61.9","65550"
"146","Otago","2020 Q2","42.8","30.3","50.1","33342"
"147","Auckland","2020 Q1","64.33","30.83","72.7","117993"
"148","Tauranga","2020 Q1","76.15","34.2","87.59","191044"
"149","Napier","2020 Q1","38.81","22.14","50","44739"
"150","Wellington","2020 Q1","34","23.1","36.7","16187"
"151","Lyttelton","2020 Q1","45.6","29.9","57.8","69084"
"152","Otago","2020 Q1","52.3","29.8","42.8","31439"
"153","Auckland","2019 Q4","63.8","30","72.1","138907"
"154","Tauranga","2019 Q4","70.2","35","83.1","216522"
"155","Napier","2019 Q4","40.86","23.49","54.16","36642"
"156","Wellington","2019 Q4","40","24.9","43.8","16529"
"157","Lyttelton","2019 Q4","51.7","28.5","64.7","81695"
"158","Otago","2019 Q4","36.8","30.9","44.9","31299"
"159","Auckland","2019 Q3","62","30","68.4","133944"
"160","Tauranga","2019 Q3","77.4","35.1","87.1","205473"
"161","Napier","2019 Q3","39.46","23.32","53.5","33913"
"162","Wellington","2019 Q3","38.95","24.66","42.33","13792"
"163","Lyttelton","2019 Q3","50.5","30.9","63.8","68416"
"164","Otago","2019 Q3","41.8","30.8","48.8","27180"
"165","Auckland","2019 Q2","72.01","33.37","80.46","132453"
"166","Tauranga","2019 Q2","73.7","34.6","83.4","203820"
"167","Napier","2019 Q2","38.32","22.89","51.48","52567"
"168","Wellington","2019 Q2","33.63","22.17","37.78","15260"
"169","Lyttelton","2019 Q2","50.4","30.2","63.6","73066"
"170","Otago","2019 Q2","46.1","30.6","56.1","34131"
"171","Auckland","2019 Q1","64.5","32.6","71.6","128485"
"172","Tauranga","2019 Q1","71.3","32.8","80.1","202190"
"173","Napier","2019 Q1","43.19","23.21","57.49","44123"
"174","Wellington","2019 Q1","32.13","21.95","36.44","16450"
"175","Lyttelton","2019 Q1","53.3","30.8","67","68585"
"176","Otago","2019 Q1","41","31.9","50","39470"
"177","Auckland","2018 Q4","61.9","31.65","68.36","132018"
"178","Tauranga","2018 Q4","61.02","30.3","79.99","216744"
"179","Napier","2018 Q4","40.8","23.68","54.37","34339"
"180","Wellington","2018 Q4","31.26","20.96","36.24","15836"
"181","Lyttelton","2018 Q4","45.7","28","57.9","73883"
"182","Otago","2018 Q4","45.5","31.7","55.5","37008"
"183","Auckland","2018 Q3","55.5","32.4","63.6","141852"
"184","Tauranga","2018 Q3","66.57","33.8","84.94","195552"
"185","Napier","2018 Q3","41.24","23.52","55.38","34589"
"186","Wellington","2018 Q3","38.37","24.96","43.3","14462"
